Season,Date,team
2012,"Tuesday, October 09, 2012",ARI
2012,"Wednesday, October 10, 2012",ARI
2011,"Sunday, March 20, 2011",ARI
2011,"Monday, March 21, 2011",ARI
2011,"Tuesday, March 22, 2011",ARI
2011,"Wednesday, March 23, 2011",ARI
2011,"Thursday, March 24, 2011",ARI
2011,"Friday, March 25, 2011",ARI
2011,"Saturday, March 26, 2011",ARI
2011,"Sunday, March 27, 2011",ARI
2011,"Monday, March 28, 2011",ARI
2011,"Tuesday, March 29, 2011",ARI
2011,"Wednesday, March 30, 2011",ARI
2011,"Thursday, March 31, 2011",ARI
2011,"Friday, April 01, 2011",ARI
2011,"Saturday, April 02, 2011",ARI
2011,"Sunday, April 03, 2011",ARI
2011,"Monday, April 04, 2011",ARI
2011,"Tuesday, April 05, 2011",ARI
2011,"Wednesday, April 06, 2011",ARI
2011,"Thursday, April 07, 2011",ARI
2011,"Friday, April 08, 2011",ARI
2011,"Saturday, April 09, 2011",ARI
2011,"Sunday, April 10, 2011",ARI
2011,"Monday, April 11, 2011",ARI
2011,"Tuesday, April 12, 2011",ARI
2011,"Wednesday, April 13, 2011",ARI
2011,"Thursday, April 14, 2011",ARI
2011,"Friday, April 15, 2011",ARI
2011,"Saturday, April 16, 2011",ARI
2011,"Sunday, April 17, 2011",ARI
2011,"Monday, April 18, 2011",ARI
2011,"Tuesday, April 19, 2011",ARI
2011,"Wednesday, April 20, 2011",ARI
2011,"Thursday, April 21, 2011",ARI
2011,"Friday, April 22, 2011",ARI
2011,"Saturday, April 23, 2011",ARI
2011,"Sunday, April 24, 2011",ARI
2011,"Monday, April 25, 2011",ARI
2011,"Tuesday, April 26, 2011",ARI
2011,"Wednesday, April 27, 2011",ARI
2011,"Thursday, April 28, 2011",ARI
2011,"Friday, April 29, 2011",ARI
2011,"Saturday, April 30, 2011",ARI
2011,"Sunday, May 01, 2011",ARI
2011,"Monday, May 02, 2011",ARI
2011,"Tuesday, May 03, 2011",ARI
2011,"Wednesday, May 04, 2011",ARI
2011,"Thursday, May 05, 2011",ARI
2011,"Friday, May 06, 2011",ARI
2011,"Saturday, May 07, 2011",ARI
