Season,Tm,NumBat,BatAge,PerBat,NumP,PAge,PerP,AvgAge
2006,COL,50,27.9,0.675675676,24,28.8,0.324324324,28.19189189
2006,DET,40,29.3,0.677966102,19,28.8,0.322033898,29.13898305
2006,MIA,40,25.6,0.655737705,21,25.9,0.344262295,25.70327869
2006,HOU,39,30.5,0.672413793,19,29.8,0.327586207,30.27068966
2006,KCR,55,29.5,0.639534884,31,27.7,0.360465116,28.85116279
2006,LAA,40,28.8,0.689655172,18,27.9,0.310344828,28.52068966
2006,LAD,50,29.8,0.694444444,22,30.4,0.305555556,29.98333333
2006,MIL,49,28.8,0.644736842,27,28.3,0.355263158,28.62236842
2006,MIN,39,28.3,0.696428571,17,26.9,0.303571429,27.875
2006,NYM,49,30.1,0.644736842,27,32.2,0.355263158,30.84605263
2006,NYY,49,30.9,0.662162162,25,32.5,0.337837838,31.44054054
2006,OAK,41,29.5,0.661290323,21,27,0.338709677,28.65322581
2006,PHI,45,29.3,0.661764706,23,30.5,0.338235294,29.70588235
2006,PIT,42,27.8,0.65625,22,27,0.34375,27.525
2006,SDP,46,30.7,0.676470588,22,30.6,0.323529412,30.66764706
2006,SEA,49,28.6,0.662162162,25,28,0.337837838,28.3972973
2006,SFG,44,33.5,0.676923077,21,28.7,0.323076923,31.94923077
2006,STL,41,29.6,0.683333333,19,28.6,0.316666667,29.28333333
2006,TBR,49,27.3,0.662162162,25,27,0.337837838,27.19864865
2006,TEX,51,28.4,0.662337662,26,28.3,0.337662338,28.36623377
2006,TOR,42,28.6,0.666666667,21,28.1,0.333333333,28.43333333
2006,WSN,57,28.5,0.662790698,29,28.9,0.337209302,28.63488372
2005,ARI,43,30.3,0.632352941,25,27.4,0.367647059,29.23382353
2005,ATL,45,28.1,0.633802817,26,28.6,0.366197183,28.28309859
2005,BAL,46,31.3,0.696969697,20,28.3,0.303030303,30.39090909
2005,BOS,52,31.5,0.666666667,26,33.6,0.333333333,32.2
2005,CHC,46,29.7,0.676470588,22,28.2,0.323529412,29.21470588
2005,CHW,38,29.3,0.690909091,17,29.3,0.309090909,29.3
2005,CIN,46,28.6,0.676470588,22,28.9,0.323529412,28.69705882
2005,CLE,38,27.7,0.690909091,17,29.2,0.309090909,28.16363636
2005,COL,54,27.2,0.666666667,27,27.3,0.333333333,27.23333333
2005,DET,45,28.5,0.661764706,23,28,0.338235294,28.33088235
2005,MIA,47,29.7,0.635135135,27,29.5,0.364864865,29.62702703
2005,HOU,36,30.2,0.679245283,17,30.3,0.320754717,30.23207547
2005,KCR,46,27.8,0.676470588,22,25.7,0.323529412,27.12058824
2005,LAA,40,29.7,0.689655172,18,28.5,0.310344828,29.32758621
2005,LAD,44,28.6,0.6875,20,28.5,0.3125,28.56875
2005,MIL,39,28.4,0.672413793,19,28,0.327586207,28.26896552
2005,MIN,37,27.6,0.711538462,15,27.9,0.288461538,27.68653846
2005,NYM,42,28.8,0.65625,22,31.9,0.34375,29.865625
2005,NYY,51,32.4,0.64556962,28,34.2,0.35443038,33.03797468
2005,OAK,41,28.6,0.672131148,20,26.6,0.327868852,27.9442623
2005,PHI,40,30,0.677966102,19,29.7,0.322033898,29.90338983
2005,PIT,44,27.4,0.698412698,19,28.7,0.301587302,27.79206349
2005,SDP,46,31,0.666666667,23,31,0.333333333,31
2005,SEA,48,28.9,0.695652174,21,31.4,0.304347826,29.66086957
2005,SFG,50,32.2,0.675675676,24,30,0.324324324,31.48648649
2005,STL,40,30.8,0.666666667,20,29.7,0.333333333,30.43333333
2005,TBR,43,27.5,0.671875,21,27.4,0.328125,27.4671875
2005,TEX,50,28.1,0.625,30,30.5,0.375,29
2005,TOR,37,28,0.672727273,18,28.2,0.327272727,28.06545455
2005,WSN,55,29.3,0.6875,25,28.9,0.3125,29.175
2004,LAA,38,28.9,0.703703704,16,29,0.296296296,28.92962963
2004,ARI,52,28.8,0.675324675,25,29.3,0.324675325,28.96233766
2004,ATL,39,28.9,0.65,21,30.1,0.35,29.32
2004,BAL,47,30.3,0.68115942,22,27.4,0.31884058,29.37536232
2004,BOS,50,30.6,0.657894737,26,32.5,0.342105263,31.25
2004,CHC,43,30.1,0.693548387,19,29.1,0.306451613,29.79354839
2004,CHW,42,28.6,0.65625,22,28.2,0.34375,28.4625
2004,CIN,44,28.4,0.666666667,22,28.5,0.333333333,28.43333333
2004,CLE,52,28.6,0.634146341,30,27.3,0.365853659,28.12439024
2004,COL,47,30.3,0.652777778,25,28.8,0.347222222,29.77916667
2004,DET,39,28.2,0.684210526,18,27.5,0.315789474,27.97894737
2004,MIA,45,28.9,0.642857143,25,27.8,0.357142857,28.50714286
2004,HOU,42,31.8,0.646153846,23,29.6,0.353846154,31.02153846
2004,KCR,58,28.9,0.698795181,25,27.4,0.301204819,28.44819277
2004,LAD,43,28.9,0.661538462,22,29.5,0.338461538,29.10307692
2004,MIL,41,28.5,0.650793651,22,27.2,0.349206349,28.04603175
2004,MIN,42,27.8,0.7,18,28.2,0.3,27.92
2004,WSN,46,27.5,0.676470588,22,26.5,0.323529412,27.17647059
2004,NYM,52,29.8,0.666666667,26,32.5,0.333333333,30.7
2004,NYY,43,32.3,0.651515152,23,32.9,0.348484848,32.50909091
2004,OAK,36,29.6,0.679245283,17,28.4,0.320754717,29.21509434
2004,PHI,39,29.3,0.65,21,29.8,0.35,29.475
2004,PIT,43,27.2,0.661538462,22,27.7,0.338461538,27.36923077
2004,SDP,47,29.5,0.661971831,24,30,0.338028169,29.66901408
2004,SEA,48,31.5,0.676056338,23,30.4,0.323943662,31.14366197
2004,SFG,43,31.5,0.661538462,22,30.1,0.338461538,31.02615385
2004,STL,37,30.6,0.649122807,20,30.1,0.350877193,30.4245614
2004,TBR,48,28.1,0.666666667,24,27.5,0.333333333,27.9
2004,TEX,52,27.9,0.634146341,30,30.6,0.365853659,28.88780488
2004,TOR,47,28,0.652777778,25,28.6,0.347222222,28.20833333
